"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1995-339","Adelaide","Hard",32,"A",19950102,1,102338,1,"","Yevgeny Kafelnikov","R",190,"RUS",20.8706365503,102154,NA,"","Marcos Ondruska","R",183,"RSA",22.0396988364,"7-6(5) 6-1",3,"R32",82,5,1,57,22,17,23,9,0,1,5,4,75,48,31,11,10,11,15,11,NA,98,NA
"2","1995-339","Adelaide","Hard",32,"A",19950102,2,101510,NA,"","Henrik Holm","R",183,"SWE",26.3627652293,101611,NA,"","Cedric Pioline","R",188,"FRA",25.5496235455,"6-2 6-2",3,"R32",70,4,8,59,28,22,17,8,7,7,1,5,55,30,19,9,8,7,11,67,NA,51,NA
"3","1995-339","Adelaide","Hard",32,"A",19950102,3,100837,NA,"","Jeremy Bates","R",180,"GBR",32.5393566051,102088,NA,"","Joern Renzenbrink","R",196,"GER",22.4613278576,"6-4 4-6 6-4",3,"R32",101,1,4,84,43,30,23,15,0,3,9,9,86,48,34,19,15,3,7,77,NA,92,NA
"4","1995-339","Adelaide","Hard",32,"A",19950102,4,101185,8,"","Mark Woodforde","L",188,"AUS",29.2758384668,101806,NA,"","Marc Kevin Goellner","R",196,"GER",24.2792607803,"6-4 6-4",3,"R32",67,9,2,53,30,26,12,10,0,1,4,8,66,28,21,17,10,3,6,43,NA,79,NA
"5","1995-339","Adelaide","Hard",32,"A",19950102,5,101793,3,"","Jim Courier","R",185,"USA",24.3778234086,101084,NA,"Q","Jakob Hlasek","R",188,"SUI",30.1382614648,"7-6(2) 6-1",3,"R32",82,2,2,65,36,26,16,9,5,6,4,6,71,42,25,11,10,3,7,13,NA,70,NA
"6","1995-339","Adelaide","Hard",32,"A",19950102,6,101888,NA,"","Daniel Vacek","R",190,"CZE",23.7563312799,101711,NA,"","Alex Obrien","R",185,"USA",24.8240930869,"6-4 5-7 6-4",3,"R32",132,9,9,94,62,46,16,16,3,5,2,3,124,76,52,26,16,13,16,45,NA,105,NA
"7","1995-339","Adelaide","Hard",32,"A",19950102,7,102358,NA,"","Thomas Enqvist","R",190,"SWE",20.8076659822,101682,NA,"Q","David Adams","R",188,"RSA",24.9911019849,"6-4 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,147,NA
"8","1995-339","Adelaide","Hard",32,"A",19950102,8,101727,6,"","Jason Stoltenberg","R",185,"AUS",24.7474332649,101900,NA,"Q","Nicklas Kulti","R",190,"SWE",23.6988364134,"7-5 6-3",3,"R32",82,6,8,67,31,27,20,11,1,1,3,4,73,40,27,16,10,6,8,21,NA,99,NA
"9","1995-339","Adelaide","Hard",32,"A",19950102,9,102158,5,"","Patrick Rafter","R",185,"AUS",22.0123203285,101889,NA,"","Todd Woodbridge","R",178,"AUS",23.7535934292,"7-6(3) 6-1",3,"R32",84,5,1,71,43,28,20,10,3,4,0,0,62,30,15,19,9,4,7,20,NA,90,NA
"10","1995-339","Adelaide","Hard",32,"A",19950102,10,101920,NA,"WC","Jamie Morgan","R",185,"AUS",23.5701574264,101647,NA,"","Byron Black","R",175,"ZIM",25.2402464066,"4-6 6-2 6-3",3,"R32",90,12,0,82,44,33,23,14,4,6,2,4,65,37,27,15,13,2,6,104,NA,66,NA
