"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","2006-1536","Madrid Masters","Hard",48,"M",20061016,1,103454,NA,"","Nicolas Massu","R",183,"CHI",27.0171115674,103292,NA,"","Gaston Gaudio","R",175,"ARG",27.8521560575,"4-6 6-3 RET",3,"R64",88,4,4,57,28,20,15,10,1,4,0,5,56,35,25,8,9,1,4,45,795,20,1245
"2","2006-1536","Madrid Masters","Hard",48,"M",20061016,2,104417,NA,"","Robin Soderling","R",193,"SWE",22.1711156742,103694,NA,"","Olivier Rochus","R",168,"BEL",25.7412731006,"6-3 6-4",3,"R64",62,11,2,53,33,27,13,10,0,0,2,1,53,35,22,10,9,6,8,29,988,32,950
"3","2006-1536","Madrid Masters","Hard",48,"M",20061016,3,104068,NA,"","Robby Ginepri","R",183,"USA",24.0246406571,103852,NA,"WC","Feliciano Lopez","L",188,"ESP",25.0704996578,"6-1 3-6 6-3",3,"R64",110,7,2,89,52,35,22,13,10,11,7,4,76,40,30,17,12,3,6,47,775,81,501
"4","2006-1536","Madrid Masters","Hard",48,"M",20061016,4,103428,NA,"","Juan Ignacio Chela","R",190,"ARG",27.1293634497,102845,NA,"WC","Carlos Moya","R",190,"ESP",30.135523614,"6-3 6-2",3,"R64",58,3,1,45,29,24,13,9,2,2,1,1,46,30,21,6,8,3,6,35,915,43,825
"5","2006-1536","Madrid Masters","Hard",48,"M",20061016,5,103898,NA,"Q","Julien Benneteau","R",185,"FRA",24.8213552361,104268,NA,"Q","Alejandro Falla","L",185,"COL",22.9212867899,"6-2 6-1",3,"R64",58,2,1,50,37,27,9,8,4,4,0,0,41,25,12,8,7,2,6,46,785,107,397
"6","2006-1536","Madrid Masters","Hard",48,"M",20061016,6,102450,NA,"WC","Tim Henman","R",185,"GBR",32.1095140315,104269,NA,"","Fernando Verdasco","L",188,"ESP",22.9185489391,"7-5 6-3",3,"R64",91,6,3,66,43,32,17,11,5,5,3,3,59,42,30,7,10,2,4,41,835,26,1055
"7","2006-1536","Madrid Masters","Hard",48,"M",20061016,7,103498,NA,"","Marat Safin","R",193,"RUS",26.7186858316,104076,NA,"","Jose Acasuso","R",190,"ARG",23.9890485969,"7-6(5) 6-7(4) 6-3",3,"R64",135,16,0,109,70,56,18,17,3,5,15,3,101,57,47,22,16,4,7,49,765,25,1080
"8","2006-1536","Madrid Masters","Hard",48,"M",20061016,8,104019,NA,"","Kristof Vliegen","R",193,"BEL",24.3175906913,104098,NA,"","Dmitry Tursunov","R",185,"RUS",23.8439425051,"6-3 6-1",3,"R64",61,6,3,45,26,22,12,8,3,3,5,4,63,34,21,11,8,6,10,33,945,21,1230
"9","2006-1536","Madrid Masters","Hard",48,"M",20061016,9,104026,NA,"","Joachim Johansson","R",198,"SWE",24.2929500342,105223,NA,"Q","Juan Martin del Potro","R",198,"ARG",18.0616016427,"6-4 6-4",3,"R64",75,17,3,63,44,34,11,10,8,8,3,0,57,45,30,9,10,4,6,292,127,96,422
"10","2006-1536","Madrid Masters","Hard",48,"M",20061016,10,103387,NA,"","Paradorn Srichaphan","R",185,"THA",27.3401779603,103165,NA,"Q","Gorka Fraile","R",180,"ESP",28.5256673511,"6-2 6-2",3,"R64",55,4,1,45,25,20,13,8,0,0,1,0,49,35,20,4,8,0,4,57,695,130,336
"11","2006-1536","Madrid Masters","Hard",48,"M",20061016,11,104755,NA,"","Richard Gasquet","R",185,"FRA",20.3285420945,103813,NA,"","Jarkko Nieminen","L",185,"FIN",25.2320328542,"6-2 6-3",3,"R64",64,5,0,54,33,22,16,9,1,1,2,1,55,33,20,9,8,3,6,27,1045,16,1410
"12","2006-1536","Madrid Masters","Hard",48,"M",20061016,12,104918,NA,"","Andy Murray","R",190,"GBR",19.4223134839,103868,NA,"Q","Ivan Navarro","R",183,"ESP",24.9911019849,"6-2 6-4",3,"R64",78,3,2,50,30,26,11,9,1,1,5,1,67,43,28,9,9,3,6,19,1295,135,321
"13","2006-1536","Madrid Masters","Hard",48,"M",20061016,13,103206,NA,"","Sebastien Grosjean","R",175,"FRA",28.3832991102,102035,NA,"","Jonas Bjorkman","R",183,"SWE",34.5653661875,"6-4 7-5",3,"R64",78,3,0,56,40,33,12,11,3,3,3,3,61,43,32,9,11,0,2,30,980,52,733
"14","2006-1536","Madrid Masters","Hard",48,"M",20061016,14,102860,NA,"","Agustin Calleri","R",183,"ARG",30.0862422998,103722,NA,"","Florent Serra","R",180,"FRA",25.6290212183,"7-6(3) 6-3",3,"R64",79,13,3,60,43,35,5,10,2,4,4,2,80,48,28,15,11,2,6,28,1003,58,685
"15","2006-1536","Madrid Masters","Hard",48,"M",20061016,15,103103,NA,"","Dominik Hrbaty","R",183,"SVK",28.7802874743,104792,NA,"","Gael Monfils","R",193,"FRA",20.1232032854,"3-6 2-2 RET",3,"R64",52,1,3,46,22,14,15,6,1,2,9,2,46,30,22,10,7,3,3,24,1090,34,930
"16","2006-1536","Madrid Masters","Hard",48,"M",20061016,16,103888,NA,"Q","Mardy Fish","R",188,"USA",24.8514715948,103598,NA,"","Xavier Malisse","R",185,"BEL",26.2422997947,"5-7 6-3 7-5",3,"R64",109,14,4,94,51,43,24,17,2,3,16,1,78,50,44,15,16,0,2,54,716,38,870
"17","2006-1536","Madrid Masters","Hard",48,"M",20061016,17,103819,1,"","Roger Federer","R",185,"SUI",25.1882272416,103454,NA,"","Nicolas Massu","R",183,"CHI",27.0171115674,"6-3 6-2",3,"R32",85,7,0,57,31,24,16,9,3,3,2,2,55,34,22,8,8,3,6,1,7370,45,795
"18","2006-1536","Madrid Masters","Hard",48,"M",20061016,18,104417,NA,"","Robin Soderling","R",193,"SWE",22.1711156742,103507,16,"","Juan Carlos Ferrero","R",183,"ESP",26.674880219,"6-3 6-2",3,"R32",79,10,4,58,40,34,8,9,5,5,3,2,64,41,25,8,8,4,7,29,988,22,1175
"19","2006-1536","Madrid Masters","Hard",48,"M",20061016,19,104068,NA,"","Robby Ginepri","R",183,"USA",24.0246406571,104339,12,"","Mario Ancic","R",196,"CRO",22.546201232,"7-6(5) 7-6(5)",3,"R32",114,6,2,89,55,36,23,12,6,8,3,1,77,47,35,17,12,4,6,47,775,12,1750
"20","2006-1536","Madrid Masters","Hard",48,"M",20061016,20,103990,7,"","Tommy Robredo","R",180,"ESP",24.4599589322,103428,NA,"","Juan Ignacio Chela","R",190,"ARG",27.1293634497,"7-6(2) 7-6(3)",3,"R32",131,8,4,101,71,54,10,12,4,6,1,1,97,69,50,9,12,8,10,8,2175,35,915
"21","2006-1536","Madrid Masters","Hard",48,"M",20061016,21,103900,4,"","David Nalbandian","R",180,"ARG",24.7885010267,103898,NA,"Q","Julien Benneteau","R",185,"FRA",24.8213552361,"6-7(4) 6-2 7-5",3,"R32",136,7,4,105,75,52,16,16,2,4,8,2,97,69,46,13,16,4,9,4,2900,46,785
"22","2006-1536","Madrid Masters","Hard",48,"M",20061016,22,102450,NA,"WC","Tim Henman","R",185,"GBR",32.1095140315,103970,14,"","David Ferrer","R",175,"ESP",24.5393566051,"6-1 4-6 6-1",3,"R32",105,3,4,80,45,31,18,12,5,8,2,1,76,48,24,11,12,3,10,41,835,15,1675
"23","2006-1536","Madrid Masters","Hard",48,"M",20061016,23,103498,NA,"","Marat Safin","R",193,"RUS",26.7186858316,104571,9,"","Marcos Baghdatis","R",183,"CYP",21.3305954825,"6-4 6-3",3,"R32",76,6,0,51,35,29,9,9,2,2,3,7,70,37,29,12,10,1,4,49,765,9,2076
"24","2006-1536","Madrid Masters","Hard",48,"M",20061016,24,104019,NA,"","Kristof Vliegen","R",193,"BEL",24.3175906913,103484,8,"","James Blake","R",185,"USA",26.8008213552,"6-4 3-6 7-6(5)",3,"R32",126,8,1,104,73,52,15,15,7,11,7,4,98,57,42,19,16,6,10,33,945,7,2240
"25","2006-1536","Madrid Masters","Hard",48,"M",20061016,25,104026,NA,"","Joachim Johansson","R",198,"SWE",24.2929500342,103786,5,"","Nikolay Davydenko","R",178,"RUS",25.3716632444,"6-4 6-7(5) 6-3",3,"R32",111,23,2,97,69,59,12,16,3,4,8,6,95,62,49,17,15,11,14,292,127,5,2720
"26","2006-1536","Madrid Masters","Hard",48,"M",20061016,26,103602,10,"","Fernando Gonzalez","R",183,"CHI",26.2149212868,103387,NA,"","Paradorn Srichaphan","R",185,"THA",27.3401779603,"7-5 6-7(5) 6-4",3,"R32",145,10,3,118,76,53,24,17,8,10,8,8,107,70,51,17,17,4,8,10,1965,57,695
"27","2006-1536","Madrid Masters","Hard",48,"M",20061016,27,104925,15,"","Novak Djokovic","R",188,"SRB",19.4031485284,104755,NA,"","Richard Gasquet","R",185,"FRA",20.3285420945,"7-6(2) 1-6 6-1",3,"R32",98,9,3,72,47,38,13,13,3,6,5,3,82,51,37,15,13,2,5,17,1360,27,1045
"28","2006-1536","Madrid Masters","Hard",48,"M",20061016,28,104918,NA,"","Andy Murray","R",190,"GBR",19.4223134839,103344,3,"","Ivan Ljubicic","R",193,"CRO",27.5783709788,"6-4 3-6 6-3",3,"R32",133,8,6,88,37,32,28,14,5,6,12,7,91,41,37,21,14,2,4,19,1295,3,3190
"29","2006-1536","Madrid Masters","Hard",48,"M",20061016,29,104053,6,"","Andy Roddick","R",188,"USA",24.128678987,103206,NA,"","Sebastien Grosjean","R",175,"FRA",28.3832991102,"6-4 7-6(3)",3,"R32",88,9,3,68,47,39,11,11,0,0,11,1,79,52,36,12,11,3,4,6,2635,30,980
"30","2006-1536","Madrid Masters","Hard",48,"M",20061016,30,104607,11,"","Tomas Berdych","R",196,"CZE",21.0787132101,102860,NA,"","Agustin Calleri","R",183,"ARG",30.0862422998,"7-6(2) 6-3",3,"R32",93,8,2,68,38,28,16,10,3,5,8,7,77,34,28,14,11,4,8,11,1860,28,1003
"31","2006-1536","Madrid Masters","Hard",48,"M",20061016,31,103163,13,"","Tommy Haas","R",188,"GER",28.5366187543,103103,NA,"","Dominik Hrbaty","R",183,"SVK",28.7802874743,"6-3 7-6(6)",3,"R32",94,7,3,70,43,31,17,11,8,10,4,2,80,41,28,17,10,7,10,13,1700,24,1090
"32","2006-1536","Madrid Masters","Hard",48,"M",20061016,32,104745,2,"","Rafael Nadal","L",185,"ESP",20.3696098563,103888,NA,"Q","Mardy Fish","R",188,"USA",24.8514715948,"6-4 6-2",3,"R32",82,3,0,48,31,23,14,9,2,2,6,1,58,29,20,14,9,7,10,2,4645,54,716
"33","2006-1536","Madrid Masters","Hard",48,"M",20061016,33,103819,1,"","Roger Federer","R",185,"SUI",25.1882272416,104417,NA,"","Robin Soderling","R",193,"SWE",22.1711156742,"7-6(5) 7-6(8)",3,"R16",108,13,0,79,60,51,13,12,2,2,8,3,102,62,50,19,12,8,8,1,7370,29,988
"34","2006-1536","Madrid Masters","Hard",48,"M",20061016,34,104068,NA,"","Robby Ginepri","R",183,"USA",24.0246406571,103990,7,"","Tommy Robredo","R",180,"ESP",24.4599589322,"6-3 7-6(3)",3,"R16",90,3,2,62,43,35,10,11,0,1,4,2,66,45,27,14,10,2,4,47,775,8,2175
"35","2006-1536","Madrid Masters","Hard",48,"M",20061016,35,103900,4,"","David Nalbandian","R",180,"ARG",24.7885010267,102450,NA,"WC","Tim Henman","R",185,"GBR",32.1095140315,"6-2 2-6 7-5",3,"R16",100,5,2,76,57,40,9,14,3,6,9,2,84,55,35,16,14,4,8,4,2900,41,835
"36","2006-1536","Madrid Masters","Hard",48,"M",20061016,36,103498,NA,"","Marat Safin","R",193,"RUS",26.7186858316,104019,NA,"","Kristof Vliegen","R",193,"BEL",24.3175906913,"6-3 6-2",3,"R16",66,2,0,50,32,23,12,9,2,3,2,0,59,35,18,13,8,4,8,49,765,33,945
"37","2006-1536","Madrid Masters","Hard",48,"M",20061016,37,103602,10,"","Fernando Gonzalez","R",183,"CHI",26.2149212868,104026,NA,"","Joachim Johansson","R",198,"SWE",24.2929500342,"W/O",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1965,292,127
"38","2006-1536","Madrid Masters","Hard",48,"M",20061016,38,104925,15,"","Novak Djokovic","R",188,"SRB",19.4031485284,104918,NA,"","Andy Murray","R",190,"GBR",19.4223134839,"1-6 7-5 6-3",3,"R16",131,3,3,90,49,35,21,14,4,7,5,2,86,39,27,27,14,3,6,17,1360,19,1295
"39","2006-1536","Madrid Masters","Hard",48,"M",20061016,39,104607,11,"","Tomas Berdych","R",196,"CZE",21.0787132101,104053,6,"","Andy Roddick","R",188,"USA",24.128678987,"7-6(7) 6-3",3,"R16",81,23,2,65,46,41,11,11,0,0,12,4,63,44,36,11,10,3,4,11,1860,6,2635
"40","2006-1536","Madrid Masters","Hard",48,"M",20061016,40,104745,2,"","Rafael Nadal","L",185,"ESP",20.3696098563,103163,13,"","Tommy Haas","R",188,"GER",28.5366187543,"6-4 6-3",3,"R16",87,4,3,49,30,27,11,9,1,1,3,3,60,36,25,9,10,4,7,2,4645,13,1700
"41","2006-1536","Madrid Masters","Hard",48,"M",20061016,41,103819,1,"","Roger Federer","R",185,"SUI",25.1882272416,104068,NA,"","Robby Ginepri","R",183,"USA",24.0246406571,"6-3 7-6(4)",3,"QF",82,6,1,76,49,37,17,11,1,1,2,0,66,44,34,10,10,0,1,1,7370,47,775
"42","2006-1536","Madrid Masters","Hard",48,"M",20061016,42,103900,4,"","David Nalbandian","R",180,"ARG",24.7885010267,103498,NA,"","Marat Safin","R",193,"RUS",26.7186858316,"6-4 6-7(6) 7-6(2)",3,"QF",177,3,5,124,75,53,30,17,7,10,19,2,125,74,52,25,17,9,13,4,2900,49,765
"43","2006-1536","Madrid Masters","Hard",48,"M",20061016,43,103602,10,"","Fernando Gonzalez","R",183,"CHI",26.2149212868,104925,15,"","Novak Djokovic","R",188,"SRB",19.4031485284,"7-5 5-7 7-5",3,"QF",141,8,4,97,55,45,22,18,2,5,5,3,108,75,52,16,18,7,11,10,1965,17,1360
"44","2006-1536","Madrid Masters","Hard",48,"M",20061016,44,104607,11,"","Tomas Berdych","R",196,"CZE",21.0787132101,104745,2,"","Rafael Nadal","L",185,"ESP",20.3696098563,"6-3 7-6(6)",3,"QF",107,9,4,78,47,35,17,11,2,2,4,2,64,43,31,11,10,0,1,11,1860,2,4645
"45","2006-1536","Madrid Masters","Hard",48,"M",20061016,45,103819,1,"","Roger Federer","R",185,"SUI",25.1882272416,103900,4,"","David Nalbandian","R",180,"ARG",24.7885010267,"6-4 6-0",3,"SF",59,9,0,41,27,21,8,8,0,1,1,2,54,38,21,3,8,5,10,1,7370,4,2900
"46","2006-1536","Madrid Masters","Hard",48,"M",20061016,46,103602,10,"","Fernando Gonzalez","R",183,"CHI",26.2149212868,104607,11,"","Tomas Berdych","R",196,"CZE",21.0787132101,"6-3 6-1",3,"SF",53,10,1,39,28,25,7,8,0,0,4,3,47,32,17,6,8,3,7,10,1965,11,1860
"47","2006-1536","Madrid Masters","Hard",48,"M",20061016,47,103819,1,"","Roger Federer","R",185,"SUI",25.1882272416,103602,10,"","Fernando Gonzalez","R",183,"CHI",26.2149212868,"7-5 6-1 6-0",5,"F",108,11,2,81,45,36,24,13,2,2,4,0,79,50,26,15,12,7,13,1,7370,10,1965
"48","2006-1720","Bangkok","Hard",32,"A",20060925,1,103344,1,"","Ivan Ljubicic","R",193,"CRO",27.5208761123,102950,NA,"","Fernando Vicente","R",180,"ESP",29.5496235455,"6-3 3-6 6-4",3,"R32",115,19,0,68,40,34,19,14,0,1,2,4,95,64,44,18,14,8,10,3,3245,96,420
