"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1979-1725","Pepsi Grand Slam","Clay",4,"A",19790210,1,100284,NA,"","Jimmy Connors","L",178,"USA",26.4394250513,100581,NA,"","John McEnroe","L",180,"USA",19.9835728953,"6-3 6-4",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1979-1725","Pepsi Grand Slam","Clay",4,"A",19790210,2,100437,NA,"","Bjorn Borg","R",180,"SWE",22.6803559206,100282,NA,"","Guillermo Vilas","L",180,"ARG",26.4832306639,"6-3 6-3",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1979-1725","Pepsi Grand Slam","Clay",4,"A",19790210,3,100437,NA,"","Bjorn Borg","R",180,"SWE",22.6803559206,100284,NA,"","Jimmy Connors","L",178,"USA",26.4394250513,"6-2 6-3",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1979-1727","Louisville","Hard",64,"A",19790723,238,100372,NA,"","Trey Waltke","R",173,"USA",24.3531827515,100121,NA,"","Raymond Moore","R",183,"RSA",32.9117043121,"7-6 6-4",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1979-1727","Louisville","Hard",64,"A",19790723,239,100116,NA,"","Sherwood Stewart","R",188,"USA",33.1279945243,100752,NA,"","Ramesh Krishnan","R",170,"IND",18.1300479124,"6-2 7-6",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1979-1727","Louisville","Hard",64,"A",19790723,240,100436,NA,"","Nick Saviano","L",180,"USA",23.1293634497,100344,NA,"","Eric Friedler","R",NA,"USA",24.8706365503,"6-4 4-6 6-2",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1979-1727","Louisville","Hard",64,"A",19790723,241,100276,NA,"","Terry Moor","L",178,"USA",27.2470910335,100186,NA,"","Jeff Borowiak","R",193,"USA",29.8234086242,"3-6 6-1 7-6",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1979-1727","Louisville","Hard",64,"A",19790723,242,100322,NA,"","Emilio Montano","R",NA,"MEX",25.5934291581,100574,NA,"","Peter Rennert","L",185,"USA",20.5722108145,"6-3 7-6",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1979-1727","Louisville","Hard",64,"A",19790723,243,100354,NA,"","Bernard Mitton","R",188,"RSA",24.7008898015,100166,NA,"","Gene Stuart Malin","R",NA,"USA",30.8062970568,"6-2 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1979-1727","Louisville","Hard",64,"A",19790723,244,100545,NA,"","Deon Joubert","L",NA,"RSA",21.0924024641,100403,NA,"","Rolf Gehring","R",185,"GER",23.6577686516,"6-2 5-7 7-6",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1979-1727","Louisville","Hard",64,"A",19790723,245,100236,NA,"","John James","R",183,"AUS",28.3778234086,130938,NA,"","John Austin","U",NA,"IRL",NA,"6-1 6-4",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1979-1727","Louisville","Hard",64,"A",19790723,246,100368,NA,"","Haroon Ismail","R",178,"ZIM",24.3997262149,100173,NA,"","Andrew Pattison","R",188,"USA",30.4750171116,"6-3 6-4",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1979-1727","Louisville","Hard",64,"A",19790723,247,100400,NA,"","Hubertus Hoyt","R",NA,"USA",23.7180013689,100557,NA,"","Jai Dilouie","R",NA,"USA",20.8624229979,"3-6 6-3 6-4",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1979-1727","Louisville","Hard",64,"A",19790723,248,100298,NA,"","George Hardie","L",NA,"USA",26.4202600958,100422,NA,"","Bruce Manson","L",173,"USA",23.3401779603,"7-6 6-2",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1979-1727","Louisville","Hard",64,"A",19790723,249,100700,NA,"","Heinz Gildemeister","R",178,"CHI",18.7597535934,107379,NA,"","John Chris Lewis","R",NA,"USA",NA,"6-3 2-6 7-6",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1979-1727","Louisville","Hard",64,"A",19790723,250,100294,NA,"","Rejean Genois","R",175,"CAN",26.559890486,100523,NA,"","Erick Iskersky","R",180,"USA",21.4893908282,"6-4 2-6 7-5",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1979-1727","Louisville","Hard",64,"A",19790723,251,100115,NA,"","Jaime Fillol","R",180,"CHI",33.1362080767,100546,NA,"","Eric Fromm","R",178,"USA",21.0704996578,"6-1 7-5",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1979-1727","Louisville","Hard",64,"A",19790723,252,100377,NA,"","Colin Dowdeswell","R",185,"GBR",24.1971252567,100611,NA,"","Mel Purcell","R",178,"USA",20.0136892539,"1-6 6-4 6-2",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1979-1727","Louisville","Hard",64,"A",19790723,253,100257,NA,"","Ross Case","R",NA,"AUS",27.7234770705,100203,NA,"","Phil Dent","R",183,"AUS",29.4346338125,"6-1 6-4",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1979-1727","Louisville","Hard",64,"A",19790723,254,100279,NA,"","Mike Cahill","R",183,"USA",27.0965092402,100415,NA,"","Michael Grant","R",178,"USA",23.4661190965,"6-3 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1979-1727","Louisville","Hard",64,"A",19790723,255,100060,16,"","Marty Riessen","R",185,"USA",37.6317590691,100118,NA,"","Ivan Molina","L",NA,"COL",33.1006160164,"3-6 7-6 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1979-1727","Louisville","Hard",64,"A",19790723,256,100309,15,"","Raul Ramirez","R",183,"MEX",26.0889801506,100310,NA,"","Mike Myburg","R",NA,"RSA",26.0807665982,"6-1 6-0",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1979-1727","Louisville","Hard",64,"A",19790723,257,100319,NA,"","Rick Fagel","R",180,"USA",25.6454483231,100417,14,"","Hans Gildemeister","R",183,"CHI",23.4496919918,"7-6 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1979-1727","Louisville","Hard",64,"A",19790723,258,100339,13,"","Victor Amaya","L",201,"USA",25.0568104038,100326,NA,"","Russell Simpson","R",188,"NZL",25.4127310062,"6-4 3-6 6-2",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1979-1727","Louisville","Hard",64,"A",19790723,259,100321,12,"","Vijay Amritraj","R",193,"IND",25.6043805613,100313,NA,"","Keith Richardson","R",185,"USA",25.9274469541,"6-2 6-0",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1979-1727","Louisville","Hard",64,"A",19790723,260,100586,11,"","Eliot Teltscher","R",178,"USA",20.3559206023,100446,NA,"","John Sadri","R",188,"USA",22.8391512663,"6-4 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1979-1727","Louisville","Hard",64,"A",19790723,261,107809,NA,"","Mike Harrington","R",NA,"USA",NA,100360,10,"","Brian Teacher","R",190,"USA",24.5804243669,"2-6 6-3 6-2",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1979-1727","Louisville","Hard",64,"A",19790723,262,100345,9,"","Pat Dupre","R",190,"USA",24.848733744,100227,NA,"","Alvin Gardiner","R",NA,"AUS",28.4435318275,"6-2 6-3",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1979-1727","Louisville","Hard",64,"A",19790723,263,100297,8,"","Corrado Barazzutti","R",178,"ITA",26.4202600958,100243,NA,"","Steve Krulevitz","R",175,"USA",28.1478439425,"6-3 6-1",3,"R64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
