"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1987-201","Guaruja","Hard",32,"A",19870126,1,100652,1,"","Cassio Motta","R",180,"BRA",26.9267624914,101080,NA,"","Lawson Duncan","R",185,"USA",22.250513347,"6-4 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,182,NA
"2","1987-201","Guaruja","Hard",32,"A",19870126,2,100770,NA,"","Peter Moraing","R",193,"GER",25.3689253936,100651,NA,"","Alejandro Ganzabal","R",180,"ARG",26.9431895962,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,119,NA
"3","1987-201","Guaruja","Hard",32,"A",19870126,3,101131,NA,"","Jimmy Brown","R",180,"USA",21.7467488022,100669,NA,"","Charles Bud Cox","R",196,"USA",26.7926078029,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,181,NA
"4","1987-201","Guaruja","Hard",32,"A",19870126,4,100518,NA,"","Ricardo Acuna","R",175,"CHI",29.0349075975,101378,7,"","Tore Meinecke","R",180,"GER",19.5181382615,"6-2 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,124,NA
"5","1987-201","Guaruja","Hard",32,"A",19870126,5,100595,NA,"","Ronnie Bathman","R",183,"SWE",27.7590691307,101086,3,"","Ronald Agenor","R",180,"USA",22.2012320329,"2-6 7-6 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,76,NA
"6","1987-201","Guaruja","Hard",32,"A",19870126,6,100460,NA,"","Jose Lopez Maeso","R",173,"ESP",30.0889801506,100807,NA,"Q","Marcelo Hennemann","R",170,"BRA",24.8788501027,"6-2 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,408,NA
"7","1987-201","Guaruja","Hard",32,"A",19870126,7,100395,NA,"","Victor Pecci","R",193,"PAR",31.2826830938,101250,NA,"Q","Jose Daher","R",180,"BRA",20.7693360712,"6-3 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,304,NA
"8","1987-201","Guaruja","Hard",32,"A",19870126,8,100696,NA,"","Mark Buckley","R",178,"USA",26.4010951403,100221,6,"","Carlos Kirmayr","R",173,"BRA",36.3422313484,"4-6 6-3 7-6",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,121,NA
"9","1987-201","Guaruja","Hard",32,"A",19870126,9,100954,5,"","Luiz Mattar","R",183,"BRA",23.4414784394,100639,NA,"","Blaine Willenborg","R",170,"USA",27.06091718,"6-2 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,161,NA
"10","1987-201","Guaruja","Hard",32,"A",19870126,10,100624,NA,"","Derek Tarr","L",185,"USA",27.3648186174,101237,NA,"WC","Danilo Marcelino","R",193,"BRA",20.887063655,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,238,NA
