"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1989-201","Guaruja","Hard",32,"A",19890206,1,100954,1,"","Luiz Mattar","R",183,"BRA",25.453798768,101076,NA,"","Cesar Kist","R",180,"BRA",24.2737850787,"6-2 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,248,NA
"2","1989-201","Guaruja","Hard",32,"A",19890206,2,100323,NA,"LL","Givaldo Barbosa","R",183,"BRA",35.0143737166,101250,NA,"","Jose Daher","R",180,"BRA",22.7816563997,"7-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,NA,302,NA
"3","1989-201","Guaruja","Hard",32,"A",19890206,3,101745,NA,"WC","Roberto Jabali","R",190,"BRA",18.7104722793,101003,NA,"Q","Ricardo Acioly","R",180,"BRA",24.9883641342,"4-6 6-0 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,520,NA
"4","1989-201","Guaruja","Hard",32,"A",19890206,4,100972,7,"","Todd Witsken","R",183,"USA",25.2402464066,100917,NA,"Q","Nelson Aerts","R",188,"BRA",25.7686516085,"5-7 6-3 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,707,NA
"5","1989-201","Guaruja","Hard",32,"A",19890206,5,101409,3,"","Jaime Yzaga","R",170,"PER",21.273100616,100922,NA,"","Roberto Arguello","U",173,"ARG",25.7221081451,"7-6 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,192,NA
"6","1989-201","Guaruja","Hard",32,"A",19890206,6,100864,NA,"","Martin Wostenholme","R",183,"CAN",26.3052703628,101761,NA,"WC","Jaime Oncins","R",196,"BRA",18.6255989049,"6-2 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,NA,314,NA
"7","1989-201","Guaruja","Hard",32,"A",19890206,7,100949,NA,"","Mauro Menezes","R",193,"BRA",25.5140314853,100398,NA,"","Julio Goes","R",180,"BRA",33.2676249144,"6-3 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,289,NA
"8","1989-201","Guaruja","Hard",32,"A",19890206,8,100607,6,"","Eduardo Bengoechea","R",185,"ARG",29.582477755,100986,NA,"","Dacio Campos","R",185,"BRA",25.1197809719,"7-6 7-6",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,256,NA
"9","1989-201","Guaruja","Hard",32,"A",19890206,9,101131,NA,"","Jimmy Brown","R",180,"USA",23.7590691307,101318,5,"","Javier Frana","L",185,"ARG",22.0999315537,"4-6 6-2 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,86,NA
"10","1989-201","Guaruja","Hard",32,"A",19890206,10,100807,NA,"","Marcelo Hennemann","R",170,"BRA",26.8911704312,100980,NA,"Q","Edvaldo Oliveira","R",178,"BRA",25.2019164956,"6-4 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,824,NA
"11","1989-201","Guaruja","Hard",32,"A",19890206,11,101483,NA,"Q","Ricardo Camargo","R",180,"BRA",20.7145790554,100548,NA,"","Ivan Kley","R",183,"BRA",30.5900068446,"3-6 6-3 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,NA,184,NA
"12","1989-201","Guaruja","Hard",32,"A",19890206,12,100652,4,"","Cassio Motta","R",180,"BRA",28.93908282,101174,NA,"","Fernando Roese","R",190,"BRA",23.4360027379,"6-3 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,153,NA
"13","1989-201","Guaruja","Hard",32,"A",19890206,13,101237,8,"","Danilo Marcelino","R",193,"BRA",22.8993839836,101371,NA,"","Malcolm Allen","R",178,"USA",21.5523613963,"6-3 7-6",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,227,NA
"14","1989-201","Guaruja","Hard",32,"A",19890206,14,100892,NA,"WC","Alexandre Hocevar","R",190,"BRA",25.9466119097,101243,NA,"","Roberto Azar","L",185,"ARG",22.8637919233,"6-2 5-7 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,165,NA
"15","1989-201","Guaruja","Hard",32,"A",19890206,15,100727,NA,"","Raul Antonio Viver","L",190,"ECU",27.8740588638,100965,NA,"","Peter Ballauff","R",188,"GER",25.3388090349,"7-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,275,NA
"16","1989-201","Guaruja","Hard",32,"A",19890206,16,101329,NA,"","Christer Allgardh","R",190,"SWE",21.9438740589,101080,2,"","Lawson Duncan","R",185,"USA",24.2628336756,"7-5 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,60,NA
"17","1989-201","Guaruja","Hard",32,"A",19890206,17,100954,1,"","Luiz Mattar","R",183,"BRA",25.453798768,100323,NA,"LL","Givaldo Barbosa","R",183,"BRA",35.0143737166,"7-6 6-1",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,399,NA
"18","1989-201","Guaruja","Hard",32,"A",19890206,18,100972,7,"","Todd Witsken","R",183,"USA",25.2402464066,101745,NA,"WC","Roberto Jabali","R",190,"BRA",18.7104722793,"6-2 6-2",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,441,NA
"19","1989-201","Guaruja","Hard",32,"A",19890206,19,101409,3,"","Jaime Yzaga","R",170,"PER",21.273100616,100864,NA,"","Martin Wostenholme","R",183,"CAN",26.3052703628,"6-3 6-2",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,392,NA
"20","1989-201","Guaruja","Hard",32,"A",19890206,20,100607,6,"","Eduardo Bengoechea","R",185,"ARG",29.582477755,100949,NA,"","Mauro Menezes","R",193,"BRA",25.5140314853,"6-4 6-4",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,220,NA
"21","1989-201","Guaruja","Hard",32,"A",19890206,21,101131,NA,"","Jimmy Brown","R",180,"USA",23.7590691307,100807,NA,"","Marcelo Hennemann","R",170,"BRA",26.8911704312,"6-0 6-0",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,257,NA
"22","1989-201","Guaruja","Hard",32,"A",19890206,22,100652,4,"","Cassio Motta","R",180,"BRA",28.93908282,101483,NA,"Q","Ricardo Camargo","R",180,"BRA",20.7145790554,"6-1 6-1",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,652,NA
