"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1984-301","Auckland","Hard",32,"A",19840109,1,100474,1,"","Chris Lewis","R",180,"NZL",26.8364134155,100744,NA,"","Peter Doohan","R",190,"AUS",22.688569473,"6-3 6-7 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"2","1984-301","Auckland","Hard",32,"A",19840109,2,101158,NA,"","John Frawley","R",173,"AUS",18.5160848734,100638,NA,"","David Mustard","L",180,"NZL",24.0301163587,"7-6 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1984-301","Auckland","Hard",32,"A",19840109,3,100321,NA,"","Vijay Amritraj","R",193,"IND",30.0698151951,100504,NA,"","Jerome Vanier","L",175,"FRA",26.1848049281,"7-6 4-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1984-301","Auckland","Hard",32,"A",19840109,4,100551,5,"","Brad Drewett","L",185,"AUS",25.4757015743,100537,NA,"","Mike Brunnberg","R",190,"USA",25.6837782341,"6-1 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA
"5","1984-301","Auckland","Hard",32,"A",19840109,5,100923,3,"","Wally Masur","R",180,"AUS",20.6598220397,100790,NA,"","Bruce Derlin","L",180,"NZL",22.1136208077,"4-6 6-3 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA
"6","1984-301","Auckland","Hard",32,"A",19840109,6,100587,NA,"Q","Steve Guy","R",188,"NZL",24.8213552361,100492,NA,"","John Austin","R",193,"USA",26.4421629021,"7-6 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1984-301","Auckland","Hard",32,"A",19840109,7,100761,NA,"Q","Danny Saltz","R",193,"USA",22.4449007529,100364,NA,"","Jonathan Smith","R",188,"GBR",28.9445585216,"6-1 3-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1984-301","Auckland","Hard",32,"A",19840109,8,100565,8,"","Lloyd Bourne","R",190,"USA",25.2265571526,100328,NA,"","Rand Evett","R",NA,"USA",29.8590006845,"3-6 6-1 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1984-301","Auckland","Hard",32,"A",19840109,9,100489,7,"","Larry Stefanki","R",178,"USA",26.4640657084,100285,NA,"","Rod Frawley","R",185,"AUS",31.3347022587,"7-6 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1984-301","Auckland","Hard",32,"A",19840109,10,100728,NA,"","Todd Nelson","R",185,"USA",22.8117727584,101154,NA,"","Simon Youl","R",185,"AUS",18.5242984257,"6-3 7-6",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1984-301","Auckland","Hard",32,"A",19840109,11,100702,NA,"","Sean Brawley","R",178,"USA",23.2087611225,101064,NA,"","David Lewis","R",180,"NZL",19.3483915127,"6-3 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1984-301","Auckland","Hard",32,"A",19840109,12,100244,4,"","John Alexander","R",190,"AUS",32.5174537988,100618,NA,"","Leif Shiras","R",183,"USA",24.386036961,"7-6 7-6",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA
