"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1980-1725","Pepsi Grand Slam","Clay",4,"A",19800208,1,100437,NA,"","Bjorn Borg","R",180,"SWE",23.6741957563,100282,NA,"","Guillermo Vilas","L",180,"ARG",27.4770704997,"6-2 6-3",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA
"2","1980-1725","Pepsi Grand Slam","Clay",4,"A",19800208,2,100342,NA,"","Vitas Gerulaitis","R",183,"USA",25.5386721424,100581,NA,"","John McEnroe","L",180,"USA",20.977412731,"7-6 6-3",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA
"3","1980-1725","Pepsi Grand Slam","Clay",4,"A",19800208,3,100437,NA,"","Bjorn Borg","R",180,"SWE",23.6741957563,100342,NA,"","Vitas Gerulaitis","R",183,"USA",25.5386721424,"6-1 5-7 6-1",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA
"4","1980-205","Lagos","Clay",32,"A",19800225,1,100259,1,"","Peter Feigl","R",183,"AUT",28.2381930185,100443,NA,"","Christophe Freyss","L",183,"FRA",23.4880219028,"6-3 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA
"5","1980-205","Lagos","Clay",32,"A",19800225,2,100135,NA,"","Onny Parun","R",188,"NZL",32.8651608487,100467,NA,"","Mark Turpin","R",183,"USA",23.0554414784,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1980-205","Lagos","Clay",32,"A",19800225,3,100450,NA,"","Leo Palin","R",178,"FIN",23.3483915127,110384,NA,"","Kehinde Ajayi","R",NA,"NGR",NA,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1980-205","Lagos","Clay",32,"A",19800225,4,100228,7,"","Kjell Johansson","R",NA,"SWE",29.0349075975,107719,NA,"Q","Martin Lorenzoni","R",NA,"ITA",NA,"6-0 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1980-205","Lagos","Clay",32,"A",19800225,5,100148,NA,"","Ismail El Shafei","R",NA,"EGY",32.2792607803,100176,3,"","Hans Kary","L",NA,"AUT",31.0034223135,"6-2 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1980-205","Lagos","Clay",32,"A",19800225,6,100451,NA,"","Tony Graham","R",NA,"USA",23.3237508556,100512,NA,"Q","Robert Reininger","R",185,"AUT",22.1492128679,"6-4 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1980-205","Lagos","Clay",32,"A",19800225,7,100266,NA,"","John Feaver","R",190,"GBR",28.0246406571,100330,NA,"","David Imonitie","R",NA,"NGR",25.87816564,"7-5 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1980-205","Lagos","Clay",32,"A",19800225,8,100499,NA,"","Chris Mayotte","R",NA,"USA",22.4421629021,100377,6,"","Colin Dowdeswell","R",185,"GBR",24.7912388775,"6-4 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1980-205","Lagos","Clay",32,"A",19800225,9,100543,8,"","Peter Elter","R",178,"GER",21.711156742,108231,NA,"","Segun Balogun","R",NA,"NGR",NA,"6-1 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1980-205","Lagos","Clay",32,"A",19800225,10,100412,NA,"Q","Bruce Nichols","R",NA,"USA",24.1533196441,100489,NA,"Q","Larry Stefanki","R",178,"USA",22.5927446954,"6-2 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1980-205","Lagos","Clay",32,"A",19800225,11,100177,NA,"","Pavel Hutka","R",NA,"CZE",30.9897330595,100238,NA,"","Rick Fisher","R",NA,"USA",28.9117043121,"7-6 4-6 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
