"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1975-1602","San Antonio WCT","Hard",32,"A",19750223,1,100060,1,"","Marty Riessen","R",185,"USA",33.2210814511,100270,NA,"","Anand Amritraj","R",185,"IND",22.9295003422,"6-3 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1975-1602","San Antonio WCT","Hard",32,"A",19750223,2,100055,NA,"","Cliff Drysdale","R",188,"RSA",33.7467488022,100204,NA,"","Pancho Walthall","R",NA,"USA",25.0184804928,"6-2 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1975-1602","San Antonio WCT","Hard",32,"A",19750223,3,100232,NA,"","Eddie Dibbs","R",170,"USA",24,100076,NA,"","Milan Holecek","R",190,"CZE",31.3374401095,"6-4 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1975-1602","San Antonio WCT","Hard",32,"A",19750223,4,100244,6,"","John Alexander","R",190,"AUS",23.6413415469,100139,NA,"","Gerald Battrick","R",178,"GBR",27.7453798768,"6-0 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1975-1602","San Antonio WCT","Hard",32,"A",19750223,5,100205,5,"","Paul Gerken","R",185,"USA",24.9445585216,100146,NA,"","Jun Kamiwazumi","R",NA,"JPN",27.3976728268,"6-4 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1975-1602","San Antonio WCT","Hard",32,"A",19750223,6,100175,NA,"","Zan Guerry","R",NA,"USA",26.0287474333,100220,NA,"","Jiri Hrebec","R",NA,"CZE",24.4298425736,"6-3 6-7(2) 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1975-1602","San Antonio WCT","Hard",32,"A",19750223,7,100061,NA,"","Tom Edlefsen","R",188,"USA",33.1991786448,100025,NA,"","Barry Phillips Moore","R",173,"AUS",37.6262833676,"6-3 7-5",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1975-1602","San Antonio WCT","Hard",32,"A",19750223,8,100229,NA,"","Dick Stockton","R",188,"USA",24.0136892539,100128,4,"","Cliff Richey","R",175,"USA",28.1478439425,"2-6 6-4 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1975-1602","San Antonio WCT","Hard",32,"A",19750223,9,100126,3,"","Stan Smith","R",193,"USA",28.1943874059,100251,NA,"","Grover Raz Reid","R",NA,"USA",23.4934976044,"6-4 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1975-1602","San Antonio WCT","Hard",32,"A",19750223,10,100073,NA,"","Mark Cox","L",NA,"GBR",31.6386036961,100106,NA,"","Graham Stilwell","R",173,"GBR",29.273100616,"6-4 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1975-1602","San Antonio WCT","Hard",32,"A",19750223,11,100321,NA,"","Vijay Amritraj","R",193,"IND",21.1937029432,100133,NA,"","Pat Cramer","R",NA,"RSA",27.9288158795,"6-1 6-7(5) 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1975-1602","San Antonio WCT","Hard",32,"A",19750223,12,100182,NA,"","Mike Estep","R",173,"USA",25.5989048597,100231,7,"","Erik Van Dillen","R",183,"USA",24.0054757016,"7-6(6) 3-6 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1975-1602","San Antonio WCT","Hard",32,"A",19750223,13,100144,8,"","Robert Lutz","R",180,"USA",27.4880219028,100130,NA,"","Vladimir Zednik","R",NA,"CZE",28.0602327173,"6-4 5-7 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1975-1602","San Antonio WCT","Hard",32,"A",19750223,14,100372,NA,"","Trey Waltke","R",173,"USA",19.9425051335,100326,NA,"","Russell Simpson","R",188,"NZL",21.0020533881,"6-3 4-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1975-1602","San Antonio WCT","Hard",32,"A",19750223,15,100196,NA,"","Haroon Rahim","R",NA,"PAK",25.2813141684,100127,NA,"","Tom Gorman","R",180,"USA",28.180698152,"6-4 6-7(3) 7-6(2)",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1975-1602","San Antonio WCT","Hard",32,"A",19750223,16,100203,NA,"","Phil Dent","R",183,"AUS",25.0239561944,100286,2,"","Harold Solomon","R",168,"USA",22.4339493498,"7-6(3) 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1975-1602","San Antonio WCT","Hard",32,"A",19750223,17,100060,1,"","Marty Riessen","R",185,"USA",33.2210814511,100055,NA,"","Cliff Drysdale","R",188,"RSA",33.7467488022,"6-4 6-3",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1975-1602","San Antonio WCT","Hard",32,"A",19750223,18,100244,6,"","John Alexander","R",190,"AUS",23.6413415469,100232,NA,"","Eddie Dibbs","R",170,"USA",24,"3-6 7-6(6) 6-1",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1975-1602","San Antonio WCT","Hard",32,"A",19750223,19,100205,5,"","Paul Gerken","R",185,"USA",24.9445585216,100175,NA,"","Zan Guerry","R",NA,"USA",26.0287474333,"6-2 6-4",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1975-1602","San Antonio WCT","Hard",32,"A",19750223,20,100229,NA,"","Dick Stockton","R",188,"USA",24.0136892539,100061,NA,"","Tom Edlefsen","R",188,"USA",33.1991786448,"3-6 6-1 6-2",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1975-1602","San Antonio WCT","Hard",32,"A",19750223,21,100126,3,"","Stan Smith","R",193,"USA",28.1943874059,100073,NA,"","Mark Cox","L",NA,"GBR",31.6386036961,"6-2 6-4",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1975-1602","San Antonio WCT","Hard",32,"A",19750223,22,100182,NA,"","Mike Estep","R",173,"USA",25.5989048597,100321,NA,"","Vijay Amritraj","R",193,"IND",21.1937029432,"3-6 6-3 6-3",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1975-1602","San Antonio WCT","Hard",32,"A",19750223,23,100144,8,"","Robert Lutz","R",180,"USA",27.4880219028,100372,NA,"","Trey Waltke","R",173,"USA",19.9425051335,"6-1 6-0",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1975-1602","San Antonio WCT","Hard",32,"A",19750223,24,100203,NA,"","Phil Dent","R",183,"AUS",25.0239561944,100196,NA,"","Haroon Rahim","R",NA,"PAK",25.2813141684,"6-4 6-3",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1975-1602","San Antonio WCT","Hard",32,"A",19750223,25,100244,6,"","John Alexander","R",190,"AUS",23.6413415469,100060,1,"","Marty Riessen","R",185,"USA",33.2210814511,"6-3 6-4",3,"QF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1975-1602","San Antonio WCT","Hard",32,"A",19750223,26,100229,NA,"","Dick Stockton","R",188,"USA",24.0136892539,100205,5,"","Paul Gerken","R",185,"USA",24.9445585216,"6-3 6-3",3,"QF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1975-1602","San Antonio WCT","Hard",32,"A",19750223,27,100126,3,"","Stan Smith","R",193,"USA",28.1943874059,100182,NA,"","Mike Estep","R",173,"USA",25.5989048597,"6-4 6-1",3,"QF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1975-1602","San Antonio WCT","Hard",32,"A",19750223,28,100144,8,"","Robert Lutz","R",180,"USA",27.4880219028,100203,NA,"","Phil Dent","R",183,"AUS",25.0239561944,"7-5 6-2",3,"QF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1975-1602","San Antonio WCT","Hard",32,"A",19750223,29,100229,NA,"","Dick Stockton","R",188,"USA",24.0136892539,100244,6,"","John Alexander","R",190,"AUS",23.6413415469,"7-6(4) 6-2",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1975-1602","San Antonio WCT","Hard",32,"A",19750223,30,100126,3,"","Stan Smith","R",193,"USA",28.1943874059,100144,8,"","Robert Lutz","R",180,"USA",27.4880219028,"6-3 4-6 6-2",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1975-1602","San Antonio WCT","Hard",32,"A",19750223,31,100229,NA,"","Dick Stockton","R",188,"USA",24.0136892539,100126,3,"","Stan Smith","R",193,"USA",28.1943874059,"7-5 2-6 7-6(6)",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,1,100342,1,"","Vitas Gerulaitis","R",183,"USA",20.5256673511,100270,NA,"","Anand Amritraj","R",185,"IND",22.8747433265,"6-3 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,2,100173,NA,"","Andrew Pattison","R",188,"USA",26.0095824778,100105,NA,"","Allan Stone","R",NA,"AUS",29.3059548255,"7-5 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,3,100219,NA,"","Geoff Masters","R",NA,"AUS",24.3750855578,100198,NA,"Q","Alvaro Betancur","R",NA,"COL",25.0841889117,"6-3 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,4,100186,8,"","Jeff Borowiak","R",193,"USA",25.3579739904,100101,NA,"Q","Mike Belkin","R",NA,"CAN",29.5989048597,"7-6(5) 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,5,100255,7,"","Roscoe Tanner","L",183,"USA",23.3045859001,100121,NA,"","Raymond Moore","R",183,"RSA",28.4462696783,"6-2 7-6(3)",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,6,100081,NA,"","Charlie Pasarell","R",NA,"USA",30.9760438056,100099,NA,"","Thomaz Koch","L",NA,"BRA",29.7330595483,"6-3 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,7,100091,NA,"","Colin Dibley","R",188,"AUS",30.3737166324,100321,NA,"","Vijay Amritraj","R",193,"IND",21.1389459274,"6-7(1) 6-1 7-5",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,8,100272,4,"","Sandy Mayer","R",178,"USA",22.8309377139,100022,NA,"","Roy Emerson","R",183,"AUS",38.250513347,"6-1 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,9,100148,3,"","Ismail El Shafei","R",NA,"EGY",27.2197125257,100120,NA,"","Robert Maud","R",180,"RSA",28.4791238877,"6-3 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,10,100029,NA,"","Rod Laver","L",173,"AUS",36.4873374401,100049,NA,"","Jim Mcmanus","L",175,"USA",34.3819301848,"6-3 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,11,100118,NA,"","Ivan Molina","L",NA,"COL",28.6351813826,100114,NA,"","Ray Ruffels","R",NA,"AUS",28.8678986995,"W/O",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1975-1603","St. Petersburg WCT","Hard",32,"A",19750203,12,100261,5,"","Brian Gottfried","R",183,"USA",23.0198494182,108360,NA,"","Teimuraz Kakoulia","R",NA,"RUS",NA,"6-3 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
