"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1993-339","Adelaide","Hard",32,"A",19930104,1,101990,1,"","Richard Krajicek","R",196,"NED",21.0814510609,102358,NA,"","Thomas Enqvist","R",190,"SWE",18.8145106092,"6-1 6-4",3,"R32",67,14,1,47,34,28,6,9,1,2,2,5,56,32,17,10,8,4,8,10,NA,63,NA
"2","1993-339","Adelaide","Hard",32,"A",19930104,2,101711,NA,"","Alex Obrien","R",185,"USA",22.8309377139,100714,NA,"Q","Broderick Dyke","L",183,"AUS",32.0109514031,"7-6(4) 7-6(5)",3,"R32",124,5,3,86,55,35,17,12,3,6,4,1,94,59,39,17,12,9,12,127,NA,545,NA
"3","1993-339","Adelaide","Hard",32,"A",19930104,3,101890,NA,"","Jonathan Stark","R",188,"USA",21.7577002053,101889,NA,"","Todd Woodbridge","R",178,"AUS",21.7604380561,"6-2 6-2",3,"R32",60,3,1,41,26,23,10,8,2,2,1,4,48,26,15,9,8,1,5,85,NA,54,NA
"4","1993-339","Adelaide","Hard",32,"A",19930104,4,102146,NA,"Q","Jordi Burillo","R",188,"ESP",20.076659822,101609,7,"","David Wheaton","R",193,"USA",23.5920602327,"6-1 6-3",3,"R32",55,7,0,38,24,19,14,8,1,1,1,3,42,19,12,9,8,1,5,157,NA,44,NA
"5","1993-339","Adelaide","Hard",32,"A",19930104,5,101334,3,"","Alexander Volkov","L",188,"RUS",25.8425735797,101298,NA,"","Jonas Svensson","R",188,"SWE",26.2067077344,"7-6(4) 6-3",3,"R32",82,6,2,65,28,23,27,11,1,1,2,0,63,43,31,9,10,4,5,17,NA,81,NA
"6","1993-339","Adelaide","Hard",32,"A",19930104,6,101685,NA,"","Markus Naewie","R",190,"GER",22.9924709103,102417,NA,"WC","Steven Baldas","R",180,"AUS",18.5489390828,"6-4 6-1",3,"R32",75,3,2,41,20,18,15,8,2,2,1,1,60,35,20,12,9,6,10,77,NA,617,NA
"7","1993-339","Adelaide","Hard",32,"A",19930104,7,101920,NA,"","Jamie Morgan","R",185,"AUS",21.5770020534,101463,NA,"","Bernd Karbacher","R",185,"GER",24.7556468172,"6-4 6-2",3,"R32",77,6,1,58,31,26,14,9,2,2,5,2,58,38,24,11,9,1,4,113,NA,52,NA
"8","1993-339","Adelaide","Hard",32,"A",19930104,8,101900,NA,"","Nicklas Kulti","R",190,"SWE",21.7056810404,101185,6,"","Mark Woodforde","L",188,"AUS",27.2826830938,"6-4 7-6(4)",3,"R32",96,8,1,76,42,28,20,11,1,3,6,2,61,31,23,18,11,4,7,79,NA,40,NA
"9","1993-339","Adelaide","Hard",32,"A",19930104,9,101196,NA,"","Derrick Rostagno","R",185,"USA",27.1950718686,101723,5,"","Magnus Larsson","R",193,"SWE",22.7816563997,"6-3 6-4",3,"R32",64,2,2,61,40,31,11,10,1,2,4,0,45,33,20,8,9,0,3,75,NA,34,NA
"10","1993-339","Adelaide","Hard",32,"A",19930104,10,101377,NA,"","Christian Bergstrom","R",180,"SWE",25.4647501711,102202,NA,"","Kenneth Carlsen","L",190,"DEN",19.7180013689,"7-6(3) 6-2",3,"R32",97,5,2,73,39,26,24,10,2,2,8,0,67,42,28,11,10,5,7,58,NA,69,NA
"11","1993-339","Adelaide","Hard",32,"A",19930104,11,101774,NA,"","Todd Martin","R",198,"USA",22.4941820671,101214,NA,"","Bryan Shelton","R",185,"USA",27.0362765229,"6-3 6-7(7) 6-4",3,"R32",154,9,3,132,79,52,28,16,9,12,13,8,105,54,37,26,15,4,9,87,NA,100,NA
"12","1993-339","Adelaide","Hard",32,"A",19930104,12,101611,4,"","Cedric Pioline","R",188,"FRA",23.5564681725,101776,NA,"","Sandon Stolle","R",193,"AUS",22.4804928131,"6-3 6-2",3,"R32",74,4,2,50,31,23,11,9,2,3,2,3,63,28,18,13,8,10,14,33,NA,71,NA
"13","1993-339","Adelaide","Hard",32,"A",19930104,13,101735,NA,"","Richard Fromberg","R",196,"AUS",22.688569473,101320,8,"","Magnus Gustafsson","R",185,"SWE",26.0041067762,"6-7(5) 6-4 6-3",3,"R32",137,3,2,102,60,43,24,15,6,7,3,3,110,73,50,17,16,7,11,83,NA,47,NA
"14","1993-339","Adelaide","Hard",32,"A",19930104,14,100815,NA,"Q","David Pate","R",183,"USA",30.7214236824,101687,NA,"Q","David Dilucia","R",173,"USA",22.970568104,"6-4 6-4",3,"R32",68,2,0,45,29,27,13,10,0,0,3,4,59,35,25,14,10,3,5,396,NA,363,NA
"15","1993-339","Adelaide","Hard",32,"A",19930104,15,101727,NA,"WC","Jason Stoltenberg","R",185,"AUS",22.7542778919,102154,NA,"","Marcos Ondruska","R",183,"RSA",20.0465434634,"7-6(4) 6-0",3,"R32",92,4,6,78,42,29,16,9,6,8,1,4,62,28,18,13,9,8,13,168,NA,67,NA
"16","1993-339","Adelaide","Hard",32,"A",19930104,16,100713,NA,"WC","John Fitzgerald","R",183,"AUS",32.0191649555,101843,2,"","Sergi Bruguera","R",188,"ESP",21.9685147159,"6-4 2-6 7-6(4)",3,"R32",115,3,3,92,48,36,26,15,4,6,11,3,119,64,46,29,15,12,13,166,NA,16,NA
"17","1993-339","Adelaide","Hard",32,"A",19930104,17,101711,NA,"","Alex Obrien","R",185,"USA",22.8309377139,101990,1,"","Richard Krajicek","R",196,"NED",21.0814510609,"6-4 6-4",3,"R16",95,0,3,63,42,33,9,10,5,6,9,5,68,44,29,12,10,6,9,127,NA,10,NA
"18","1993-339","Adelaide","Hard",32,"A",19930104,18,101890,NA,"","Jonathan Stark","R",188,"USA",21.7577002053,102146,NA,"Q","Jordi Burillo","R",188,"ESP",20.076659822,"7-6(4) 6-2",3,"R16",85,4,1,74,54,39,12,10,6,7,7,6,74,40,31,12,10,4,7,85,NA,157,NA
"19","1993-339","Adelaide","Hard",32,"A",19930104,19,101334,3,"","Alexander Volkov","L",188,"RUS",25.8425735797,101685,NA,"","Markus Naewie","R",190,"GER",22.9924709103,"6-2 6-1",3,"R16",49,2,1,44,23,16,16,8,1,2,2,1,39,25,8,8,7,2,7,17,NA,77,NA
"20","1993-339","Adelaide","Hard",32,"A",19930104,20,101900,NA,"","Nicklas Kulti","R",190,"SWE",21.7056810404,101920,NA,"","Jamie Morgan","R",185,"AUS",21.5770020534,"6-4 6-4",3,"R16",76,3,0,57,35,29,14,10,3,3,5,1,57,34,25,13,10,6,8,79,NA,113,NA
"21","1993-339","Adelaide","Hard",32,"A",19930104,21,101377,NA,"","Christian Bergstrom","R",180,"SWE",25.4647501711,101196,NA,"","Derrick Rostagno","R",185,"USA",27.1950718686,"6-3 6-2",3,"R16",55,4,2,44,23,16,13,8,0,1,2,3,50,41,22,2,9,2,7,58,NA,75,NA
"22","1993-339","Adelaide","Hard",32,"A",19930104,22,101611,4,"","Cedric Pioline","R",188,"FRA",23.5564681725,101774,NA,"","Todd Martin","R",198,"USA",22.4941820671,"6-4 6-1",3,"R16",66,3,0,44,33,25,8,8,0,0,4,1,49,33,20,7,9,1,5,33,NA,87,NA
"23","1993-339","Adelaide","Hard",32,"A",19930104,23,101735,NA,"","Richard Fromberg","R",196,"AUS",22.688569473,100815,NA,"Q","David Pate","R",183,"USA",30.7214236824,"7-6(3) 7-6(8)",3,"R16",115,9,1,85,58,47,18,12,3,3,1,4,106,66,51,18,12,6,6,83,NA,396,NA
"24","1993-339","Adelaide","Hard",32,"A",19930104,24,100713,NA,"WC","John Fitzgerald","R",183,"AUS",32.0191649555,101727,NA,"WC","Jason Stoltenberg","R",185,"AUS",22.7542778919,"6-3 6-4",3,"R16",69,3,3,59,38,27,12,10,2,4,2,2,53,31,21,8,9,3,7,166,NA,168,NA
"25","1993-339","Adelaide","Hard",32,"A",19930104,25,101890,NA,"","Jonathan Stark","R",188,"USA",21.7577002053,101711,NA,"","Alex Obrien","R",185,"USA",22.8309377139,"6-2 6-1",3,"QF",70,10,5,65,37,28,12,8,6,7,0,0,44,28,13,6,7,4,9,85,NA,127,NA
"26","1993-339","Adelaide","Hard",32,"A",19930104,26,101900,NA,"","Nicklas Kulti","R",190,"SWE",21.7056810404,101334,3,"","Alexander Volkov","L",188,"RUS",25.8425735797,"6-4 1-6 6-3",3,"QF",98,6,6,77,39,30,19,13,3,5,6,6,79,41,31,22,13,5,7,79,NA,17,NA
"27","1993-339","Adelaide","Hard",32,"A",19930104,27,101377,NA,"","Christian Bergstrom","R",180,"SWE",25.4647501711,101611,4,"","Cedric Pioline","R",188,"FRA",23.5564681725,"7-5 7-6(4)",3,"QF",107,2,4,80,47,34,21,12,5,7,6,0,79,47,29,20,12,2,5,58,NA,33,NA
"28","1993-339","Adelaide","Hard",32,"A",19930104,28,101735,NA,"","Richard Fromberg","R",196,"AUS",22.688569473,100713,NA,"WC","John Fitzgerald","R",183,"AUS",32.0191649555,"6-4 6-4",3,"QF",78,8,2,59,31,23,19,10,4,5,1,3,62,43,30,8,10,4,7,83,NA,166,NA
"29","1993-339","Adelaide","Hard",32,"A",19930104,29,101900,NA,"","Nicklas Kulti","R",190,"SWE",21.7056810404,101890,NA,"","Jonathan Stark","R",188,"USA",21.7577002053,"4-6 6-4 6-4",3,"SF",121,2,4,78,36,25,25,15,1,4,10,3,86,45,34,19,15,4,8,79,NA,85,NA
"30","1993-339","Adelaide","Hard",32,"A",19930104,30,101377,NA,"","Christian Bergstrom","R",180,"SWE",25.4647501711,101735,NA,"","Richard Fromberg","R",196,"AUS",22.688569473,"6-4 6-4",3,"SF",91,1,2,74,45,31,16,10,6,7,5,2,58,35,21,12,10,2,5,58,NA,83,NA
"31","1993-339","Adelaide","Hard",32,"A",19930104,31,101900,NA,"","Nicklas Kulti","R",190,"SWE",21.7056810404,101377,NA,"","Christian Bergstrom","R",180,"SWE",25.4647501711,"3-6 7-5 6-4",3,"F",157,6,4,111,53,37,26,15,7,12,2,3,95,58,38,16,16,4,10,79,NA,58,NA
"32","1993-451","Doha","Hard",32,"A",19930104,1,101222,1,"","Stefan Edberg","R",188,"SWE",26.9596167009,101373,NA,"","Karsten Braasch","L",180,"GER",25.4784394251,"6-3 7-6(5)",3,"R32",109,2,1,81,46,31,22,10,6,6,7,2,88,41,30,23,11,9,11,2,NA,90,NA
"33","1993-451","Doha","Hard",32,"A",19930104,2,102338,NA,"Q","Yevgeny Kafelnikov","R",190,"RUS",18.8774811773,100837,NA,"","Jeremy Bates","R",180,"GBR",30.546201232,"6-3 6-3",3,"R32",73,2,5,56,28,21,16,9,2,3,2,1,55,24,13,14,9,2,6,275,NA,105,NA
"34","1993-451","Doha","Hard",32,"A",19930104,3,101150,NA,"","Gianluca Pozzi","L",180,"ITA",27.5509924709,101717,NA,"","Diego Nargiso","L",188,"ITA",22.8090349076,"6-4 7-6(3)",3,"R32",110,0,0,67,30,22,25,11,5,6,0,5,72,31,23,22,11,4,6,68,NA,88,NA
"35","1993-451","Doha","Hard",32,"A",19930104,4,101733,7,"","Jan Siemerink","L",183,"NED",22.726899384,101233,NA,"","Alex Antonitsch","R",188,"AUT",26.9048596851,"2-6 7-6(1) 6-0",3,"R32",115,3,4,86,49,35,23,13,5,7,4,3,87,50,37,14,13,3,6,57,NA,108,NA
"36","1993-451","Doha","Hard",32,"A",19930104,5,101414,3,"","Boris Becker","R",190,"GER",25.1197809719,101096,NA,"","Gary Muller","L",190,"RSA",28.0219028063,"6-7(2) 6-2 6-0",3,"R32",116,6,4,89,58,41,18,13,6,7,8,4,84,54,36,12,13,9,15,5,NA,143,NA
"37","1993-451","Doha","Hard",32,"A",19930104,6,101362,NA,"","Stephane Simian","L",193,"FRA",25.5770020534,102093,NA,"","Martin Damm","R",188,"CZE",20.4271047228,"6-4 1-6 6-2",3,"R32",110,7,4,75,38,28,17,12,6,9,7,3,75,39,30,17,13,2,6,106,NA,91,NA
"38","1993-451","Doha","Hard",32,"A",19930104,7,101926,NA,"WC","Andrei Merinov","L",183,"RUS",21.5359342916,101285,NA,"","Thierry Champion","R",183,"FRA",26.3463381246,"6-4 7-5",3,"R32",119,2,2,83,50,31,16,11,7,10,1,2,90,61,36,12,11,11,16,254,NA,98,NA
"39","1993-451","Doha","Hard",32,"A",19930104,8,101439,6,"","Javier Sanchez","R",178,"ESP",24.9253935661,101536,NA,"Q","Murphy Jensen","L",193,"USA",24.180698152,"6-2 6-4",3,"R32",70,0,1,52,43,29,5,8,3,4,3,8,59,30,15,13,9,6,11,41,NA,742,NA
"40","1993-451","Doha","Hard",32,"A",19930104,9,101016,NA,"","Marcos Aurelio Gorriz","L",185,"ESP",28.8377823409,101820,5,"","Marc Rosset","R",201,"SUI",22.160164271,"5-7 7-6(4) 2-0 RET",3,"R32",124,1,3,83,51,34,18,14,6,9,8,5,93,52,35,21,13,6,9,101,NA,35,NA
"41","1993-451","Doha","Hard",32,"A",19930104,10,101642,NA,"","Bart Wuyts","R",178,"BEL",23.3045859001,100321,NA,"WC","Vijay Amritraj","R",193,"IND",39.0581793292,"6-2 6-4",3,"R32",73,0,3,66,49,31,7,9,5,8,0,0,48,34,14,7,9,2,8,74,NA,NA,NA
"42","1993-451","Doha","Hard",32,"A",19930104,11,101962,NA,"Q","Younes El Aynaoui","R",193,"MAR",21.3141683778,101806,NA,"","Marc Kevin Goellner","R",196,"GER",22.2861054073,"7-6(6) 4-6 7-6(5)",3,"R32",159,10,2,107,59,49,23,17,2,5,11,5,123,63,44,37,17,3,5,311,NA,109,NA
